speaker	original	traduit
2	<sync>	<sync>
1	IntroV4Confirmation (hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this)	IntroV4Confirmation ( salut je suis ellie merci d'être venu aujourd'hui j'ai été créé pour parler aux gens dans un environnement sûr et sécurisé je ne suis pas un thérapeute mais je suis ici pour apprendre sur les gens et j'aimerais apprendre sur vous je vais poser quelques questions pour nous faire commencer et s'il vous plaît n'hésitez pas à me dire tout ce que vos réponses sont totalement confidentielles êtes-vous d'accord avec cela)
2	yes i am	Oui, je le suis.
1	okay_confirm (okay) how_doingV (so how are you doing today)	OK_confirmer (OKY) comment_faireV (ainsi comment allez-vous aujourd'hui)
2	i'm doing great	Je me débrouille bien.
1	thats_good (that's good) where_originally (where are you from originally)	thats_good (c'est bien) où_originalement (d'où êtes-vous à l'origine)
2	i am originally from venezuela	Je suis originaire de Venezuela
1	really (really) when_LA (when did you move to l_a)	vraiment (vraiment) quand_LA (quand avez-vous déménagé à l_a)
2	i was two years old	J'avais deux ans.
1	very_young (you were very young weren't you)	try_young (vous étiez très jeune n'était pas vous)
2	yes i was	Oui, j'étais
1	often_backB (how often do you go back to your hometown)	souvent_backB (combien de fois retournez-vous dans votre ville natale)
2	um been only once	um n'a été qu'une seule fois
1	why2 (why)	Pourquoi2 (pourquoi)
2	i do not have family there anymore uh my uh siblings live in florida nowadays	Je n'ai plus de famille là-bas, mes frères et sœurs vivent en Floride de nos jours.
1	aw (aw) okay_confirm (okay) like_about_LA (what are some things you really like about l_a)	aw (aw) ok_confirmer (OK) comme_about_LA (quelles sont certaines choses que vous aimez vraiment à propos de l_a)
2	wow there's so many things i like about l_a i like the weather i like people overall i think the weather we're very lucky here	Il y a tellement de choses que j'aime à propos du temps que j'aime dans l'ensemble des gens que je pense que le temps que nous avons de la chance ici
1	mhm (mhm) dont_like_LA (what are some things you don't really like about l_a)	mhm (mhm) dont_like_LA (quelles sont certaines choses que vous n'aimez pas vraiment à propos de l_a)
2	traffic	trafic
1	see_mean (i see what you mean) travel_shoes (i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot)	voir_moyen (je vois ce que vous voulez dire) Travel_shoes (je suis sûr que vous pouvez dire par mes chaussures que je ne suis pas beaucoup un explorateur du monde que vous voyagez beaucoup)
2	uh i have traveled some	J'en ai voyagé quelques-uns.
1	travel_changed (what do you enjoy about traveling)	voyage_changement (qu'est-ce qui vous plaît à voyager)
2	meeting new people and doing new learning about new cultures i enjoy languages uh traveling itself	rencontrer de nouvelles personnes et faire de nouveaux apprentissages sur de nouvelles cultures j'aime les langues uh voyager lui-même
1	travel_trips (i'd love to hear about one of your trips)	Voyage _voyages (j'adorerais entendre parler d'un de vos voyages)
2	i have traveled to italy uh i lived there for seven and a half years and i studied abroad i've uh visit a few countries through europe and i had a real good time	J'ai voyagé en Italie, j'y ai vécu sept ans et demi et j'ai étudié à l'étranger, j'ai visité quelques pays à travers l'Europe et j'ai passé un bon moment.
1	memorableB (what's one of your most memorable experiences)	mémorableB (ce qui est l'une de vos expériences les plus mémorables)
2	um probably traveling uh through rail along europe and getting to know cities in that way	um probablement voyager uh à travers le rail le long de l'europe et apprendre à connaître les villes de cette façon
1	awesome (awesome) shyoutgoing (do you consider yourself more shy or outgoing)	géniale (impressionnante) timingoutway (vous considérez-vous plus timide ou sortant)
2	totally outgoing	totalement sortant
1	relax_fishtank (sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax)	relax_fishtank (parfois quand je me sens tendu, j'allume l'écran d'écran du réservoir de poisson hey je sais que ce n'est pas hawaii mais c'est le meilleur que j'ai ce que vous faites pour vous détendre)
2	i do meditation	Je fais de la méditation
1	hard_decision (how did you decide to do that)	hard_decision (comment avez-vous décidé de faire cela)
2	um it's usually a practice that you can becomes very natural so my body's able to um sense when i'm not feeling at ease and i naturally um breathe and start my meditation process	um c'est généralement une pratique que vous pouvez devenir très naturel ainsi mon corps est capable de sentir um quand je ne me sens pas à l'aise et je respire naturellement um et commencer mon processus de méditation
1	difficult (how hard is that)	difficile (comment difficile est-ce)
2	mm it could be hard if you don't practice it every day or if you're not able to quiet your mind however if you um meditate for a long time it becomes a practice like going to the gym or drinking your daily water um you can naturally learn to meditate	mm il pourrait être difficile si vous ne le pratiquez pas tous les jours ou si vous n'êtes pas capable de calmer votre esprit cependant si vous um méditer pendant longtemps il devient une pratique comme aller à la gym ou boire votre eau quotidienne um vous pouvez naturellement apprendre à méditer
1	uh_huh (uh huh) control_temper (how are you at controlling your temper)	uh_huh (uh huh) control_temper (comment contrôlez-vous votre tempérament)
2	i think pretty good	Je pense que c'est pas mal.
1	last_argument (when was the last time you argued with someone and what was it about)	last_argument (quand a été la dernière fois que vous avez discuté avec quelqu'un et de quoi était-il question)
2	i typically do not argue uh and i don't remember any instance of arguing with someone recently	Je ne discute pas et je ne me souviens d'aucun cas de dispute avec quelqu'un récemment
